Land,1970,1990,2005,2017,2020,Pro Einwohner (2022),Anteil der Welt in %,Veränderung (1990 = 100%)
Aruba,25.2,189.3,358.2,426.8,455.1,4.25,0.00,240.40
Afghanistan,1734.1,2896.5,1333.8,8546.9,5675.8,0.14,0.02,196.00
Angola,8948.2,11288.8,15964.1,26137.4,20185.7,0.58,0.05,178.80
Anguilla,2.2,6.1,13.7,29.1,22.8,1.52,0.00,372.50
Albania,4848.8,6647.4,4149.4,5349.3,4486.2,1.52,0.01,67.50
Netherlands Antilles,14515.8,2666.4,5910.4,4005.9,2046.8,12.41,0.01,76.80
United Arab Emirates,19429.2,56825.6,122379.8,205196.1,218799.3,21.75,0.57,385.00
Argentina,87006.9,99531.6,152773.7,188432.6,184037.2,3.97,0.48,184.90
Armenia,12673.6,20604.7,4462.5,5380.8,6326.5,2.15,0.02,30.70
Antigua and Barbuda,102.4,154.3,160.2,253.4,277.7,2.59,0.00,180.00
Australia,160382,277201.6,383817.6,415458.4,393162.5,15.12,1.02,141.80
Austria,52664,61582.5,79903.2,69954.1,61174.5,6.94,0.16,99.30
Azerbaijan,36257.2,54412.8,30339.2,32673.7,37129.6,3.62,0.10,68.20
Burundi,58.3,204.2,184.8,519.4,924.2,0.07,0.00,452.60
Belgium,139251.7,115808.6,119088.6,99402.3,90414.9,7.72,0.24,78.10
Benin,311.4,397.6,2800.9,7240,9619.5,0.75,0.03,2419.50
Burkina Faso,226.2,332.4,1143.7,4327.5,5820.5,0.26,0.02,1751.30
Bangladesh,3338.8,14310.6,39772.4,100195.5,109075.3,0.63,0.28,762.20
Bulgaria,68948.4,79751.3,52346.2,49226.3,50103.3,7.32,0.13,62.80
Bahrain,2958.5,11977.6,23350.6,33734.9,37955.1,21.31,0.10,316.90
Bahamas,1441.3,1024.2,800.9,1256.7,1446.2,3.49,0.00,141.20
Bosnia and Herzegovina,11563.6,24573.1,16834,23966.5,21826.7,6.26,0.06,88.80
Belarus,54982,105045.2,59600.9,60113.4,57411.4,6.12,0.15,54.70
Belize,59.9,119.3,139.5,258.9,269.4,0.65,0.00,225.80
Bermuda,138.9,238.1,173.1,260.9,317.5,5.29,0.00,133.30
Bolivia,3018.4,6572.9,9878.3,21648,21959.5,1.85,0.06,334.10
Brazil,104664.4,219750.7,365166,492735.3,466770.4,2.15,1.21,212.40
Barbados,254.9,558.4,612.8,601,674.2,2.34,0.00,120.70
Brunei,2038.8,3336.6,5165.9,7433.5,9375.7,20.65,0.02,281.00
Bhutan,35.1,180.7,556.3,1588,1712.4,2.01,0.00,947.40
Botswana,153.4,2822.6,4390.3,7439.7,8213.7,3.29,0.02,291.00
Central African Republic,75.7,162.1,254.2,249.7,276.1,0.05,0.00,170.40
Canada,356147.4,440412.5,576473.2,595061.2,582072.9,15.22,1.51,132.20
Switzerland,41435.9,44773.8,47040,39792.1,36105.2,4.11,0.09,80.60
Chile,27881.4,33021.1,58906.8,89430.9,92858.7,4.96,0.24,281.20
China,910077.7,2406179.5,6258412.6,11026110.2,12667428.4,8.85,32.88,526.50
Ivory Coast,2615.8,2972.3,6400.8,12335.1,14491.9,0.53,0.04,487.60
Cameroon,871.1,4771.3,5480.3,9751.7,10080.2,0.37,0.03,211.30
Democratic Republic of the Congo,2926.5,3367,2480.2,3127.4,3551.8,0.04,0.01,105.50
Republic of the Congo,1803.3,2398.8,4352,5555,7435.8,1.24,0.02,310.00
Cook Islands,18.8,40.2,86.2,117.4,107.8,6.34,0.00,268.30
Colombia,28567.2,53037.3,60726.4,77797.4,88469.8,1.74,0.23,166.80
Comoros,21.9,40,136.6,246.2,342.9,0.38,0.00,856.70
Cape Verde,150,54.8,611.2,838.7,1015,1.74,0.00,1853.30
Costa Rica,1433.4,2914.8,6352.8,8377.1,8608.4,1.68,0.02,295.30
Cuba,21847.8,38616.9,26224.2,26483.4,24770.8,2.15,0.06,64.10
Cayman Islands,25.5,108.4,136.3,256.5,307.2,4.73,0.00,283.30
Cyprus,2167.5,4638.5,7905.2,7361.9,7460.3,6.1,0.02,160.80
Czech Republic,186755,164666.8,128542,109866.4,101544.7,9.55,0.26,61.70
Germany,1074753,1008138.1,835260,769106.8,673595.3,8.16,1.75,66.80
Djibouti,711.6,992.5,759,642.6,761.1,0.74,0.00,76.70
Dominica,7.6,20.1,57.7,63.4,68.8,0.92,0.00,341.90
Denmark,61931.9,52431.6,50709.9,33582,29158.8,4.99,0.08,55.60
Dominican Republic,3883.8,8049.2,18786.2,23736.2,23457,2.07,0.06,291.40
Algeria,19022.2,67921.6,98171.7,161370.2,177079.4,3.97,0.46,260.70
Ecuador,5018.6,17523.7,28179.8,39706.4,46106.9,2.59,0.12,263.10
Egypt,25436.2,91447.9,178335.2,268634.2,265961.3,2.5,0.69,290.80
Eritrea,341.7,329.2,604.2,598.1,804.7,0.14,0.00,244.40
Western Sahara,86.8,149.7,259.6,214.8,241.5,0.39,0.00,161.30
Spain,144547,231558.1,369915.8,281053.5,254363.4,5.48,0.66,109.80
Estonia,16197.5,37944.9,19405.4,21223.9,10847.9,8.39,0.03,28.60
Ethiopia,1167.1,2186.1,5471.4,16607.3,21106.9,0.18,0.06,965.50
Finland,41239.9,56211.7,57781.8,45571.1,37324.7,6.64,0.10,66.40
Fiji,712.7,995,1834.4,1785.7,1692.9,1.81,0.00,170.10
Falkland Islands,2.9,5.4,10.4,15.6,21.8,7.26,0.00,406.60
France,465305.4,384031.5,406272.9,338584.8,315299.5,4.76,0.82,82.10
Faroe Islands,0.9,1.6,1.9,2,2.1,0.04,0.00,132.90
Gabon,600.8,6164.7,6384.7,5668.6,5516.6,2.46,0.01,89.50
United Kingdom,669518.5,581012.1,556573.3,379214.5,340610.3,5,0.88,58.60
Georgia,23136.6,34482.3,4832,10980,12013.9,3.1,0.03,34.80
Ghana,2344.6,3131.1,7187.7,16862.4,24453,0.76,0.06,781.00
Gibraltar,69.5,143.8,406.3,649.8,663.6,18.96,0.00,461.40
Guinea,459.4,962.4,1763.1,3118.1,3801.7,0.26,0.01,395.00
Guadeloupe,185.1,655.5,640.8,838.7,904.5,2.02,0.00,138.00
Gambia,79.2,124.7,333.9,494.3,611.7,0.25,0.00,490.60
Guinea-Bissau,44.2,172,277.1,289.8,350.1,0.17,0.00,203.50
Equatorial Guinea,41.6,71.1,6434.3,6389.6,5053.9,3.37,0.01,7109.80
Greece,28857.3,77902.2,103607.7,68356.8,56777.1,5.14,0.15,72.90
Grenada,11.2,47.9,66.2,117,122.5,1.1,0.00,255.90
Greenland,0.8,1.1,619.2,508.7,465.9,8.17,0.00,40779.60
Guatemala,2500,3914.4,11772.1,17155.1,20090.1,1.08,0.05,513.20
French Guiana,91,242.7,187.6,344.5,354.6,1.11,0.00,146.10
Guyana,1502.8,1174,1483.4,2468.8,3804,4.76,0.01,324.00
Hong Kong,9493.2,35029.8,42584.1,43977,32439.2,4.24,0.08,92.60
Honduras,1217.9,2355.4,7091.4,9338.2,10612.6,1.06,0.03,450.60
Croatia,21706.5,24799.3,22719.8,18734.2,17225,4.23,0.05,69.50
Haiti,533.3,1141.4,1828.6,3502.8,3437,0.3,0.01,301.10
Hungary,66231.3,71682.9,60294,53869.5,47291.9,4.95,0.12,66.00
Indonesia,30979.7,160851.1,359832.5,542053.7,692236.1,2.5,1.80,430.40
India,213947.3,600677.9,1216512.3,2434123.8,2693034.1,1.91,6.99,448.30
Ireland,20645.6,32234.6,46848.9,38179.2,37785.6,7.61,0.10,117.20
Iran,79495.2,204790.8,467592.5,664899.5,686415.7,8.08,1.78,335.20
Iraq,23149.2,69222.5,87038.1,161380.7,193836.3,4.43,0.50,280.00
Iceland,1934.9,2341.7,3130.8,3314.8,3558.3,10.23,0.01,152.00
Israel,14903.5,35224.2,61974.6,67927.7,61771.2,4.24,0.16,175.40
Italy,312329.1,424676.5,492525.9,345364.5,322948.7,5.48,0.84,76.00
Jamaica,8049.9,7512.2,10613.5,7277.7,6083,2.08,0.02,81.00
Jordan,2741.6,10078.2,20316.5,26549.6,23578.9,2.27,0.06,234.00
Japan,848591,1165378,1282140.9,1205921.4,1082645.4,8.61,2.81,92.90
Kazakhstan,128715.2,248531.2,181844.1,224320.8,245886.3,12.85,0.64,98.90
Kenya,3749.4,6469,9023.8,19938.8,21527.4,0.38,0.06,332.80
Kyrgyzstan,11814.6,23656.3,5373.4,9594.4,10303.4,1.6,0.03,43.60
Cambodia,213.2,422.9,2700.8,11849.1,17618.9,1.03,0.05,4166.30
Kiribati,18.8,16.5,65.5,80.5,74,0.59,0.00,449.60
Saint Kitts and Nevis,14.7,19.5,56.5,95,101.9,1.76,0.00,522.00
South Korea,62022,272123.8,515395.5,668139.6,635503,12.26,1.65,233.50
Kuwait,38308.5,32313.9,75152.3,95909.5,110119.6,24.9,0.29,340.80
Laos,288.3,252.6,1302.6,19244.1,20125.9,2.74,0.05,7969.00
Lebanon,5431.5,5974.5,16573.8,29296.5,23766.1,4.05,0.06,397.80
Liberia,971.4,381.4,685,1168.3,1622.8,0.3,0.00,425.50
Libya,39295.2,32508.4,57548.8,55020.5,62743,9.2,0.16,193.00
Saint Lucia,29.5,66.7,107.2,179.3,254.8,1.39,0.00,381.90
Sri Lanka,3119.8,4237.3,14418.6,23402.9,18535.9,0.87,0.05,437.40
Lesotho,73.6,110.7,410.5,679.5,779,0.33,0.00,703.90
Lithuania,19106.3,34935.8,13914.7,13957.6,13263.8,4.69,0.03,38.00
Luxembourg,18385.7,11711.4,12114.1,9188.2,7586.8,12.26,0.02,64.80
Latvia,12590,19703.9,8019.5,7403.6,6705.4,3.61,0.02,34.00
Macau,303.8,929.4,2175.5,3198.5,2247.4,3.34,0.01,241.80
Morocco,6935.9,22460.8,44495.4,63846.5,72642,1.92,0.19,323.40
Moldova,16761.3,31756.9,8172.8,8189.6,8652.1,2.17,0.02,27.20
Madagascar,768.4,907.8,1788,3552.1,3190,0.11,0.01,351.40
Maldives,9.9,93.1,727.5,1874.2,2181.1,4.62,0.01,2341.70
Mexico,120905,289977.6,446873.3,498902,487774,3.56,1.27,168.20
North Macedonia,9108.1,11189.9,9662.9,7986.1,8336.5,3.99,0.02,74.50
Mali,247,324.4,950.7,4910.5,6726,0.31,0.02,2073.50
